student_id,item_id,is_correct,school_id
51950,54581,1,2770
51950,55506,0,2770
51950,55509,1,2770
53167,54581,0,73
53167,54697,0,73
53167,55508,1,73
53167,55509,0,73
53167,55521,1,73
64525,30833,1,73
64525,46276,1,73
64525,46278,0,73
64525,46279,1,73
64525,46280,1,73
64525,46281,1,73
64525,55506,1,73
64525,55901,0,73
70190,46277,1,1
70190,46281,0,1
70190,55506,1,1
70363,54581,1,73
70363,54697,0,73
70363,55506,0,73
70363,55508,0,73
70363,55509,0,73
70363,55521,0,73
70363,55901,0,73
70682,54581,0,73
70695,46278,0,73
70695,46280,1,73
70704,54581,0,73
70707,30833,1,73
70707,46276,1,73
70707,46278,0,73
70707,46279,0,73
70707,46280,1,73
70707,46281,1,73
70707,46285,1,73
70707,54581,1,73
70707,54697,0,73
70707,55506,0,73
70707,55508,0,73
70707,55521,0,73
70727,30833,1,73
70727,46276,0,73
70727,46277,1,73
70727,46278,0,73
70727,46279,1,73
70727,46280,1,73
70727,46281,1,73
70727,54581,1,73
70727,54697,0,73
70727,55901,0,73
70729,46277,1,73
70729,46278,0,73
70729,46280,1,73
70729,46281,1,73
70733,30833,1,73
70733,46276,0,73
70733,46277,0,73
70733,46278,1,73
70733,46279,0,73
70733,46280,1,73
70733,46281,0,73
70733,46285,0,73
70733,55521,0,73
70736,55521,1,73
70736,55901,0,73
70745,54581,0,73
70745,55506,1,73
70745,55508,0,73
70745,55509,1,73
70745,55521,0,73
70746,30833,1,73
70746,46276,1,73
70746,46279,0,73
70746,46280,1,73
70746,46281,1,73
70746,46285,1,73
70746,55901,1,73
70752,54697,1,73
70816,30833,0,73
70816,46285,1,73
70816,54581,1,73
70816,54697,1,73
70816,55509,0,73
70874,46276,1,73
70874,46280,1,73
71179,46285,1,76
71179,55901,1,76
71183,30833,1,76
71191,55901,0,76
71221,30833,1,76
71225,30833,1,76
71225,46285,0,76
71230,30833,1,76
71230,55901,1,76
71232,46285,1,76
71232,55901,1,76
71740,30833,1,73
71740,46277,1,73
71740,46278,0,73
71740,46279,1,73
71740,46280,1,73
71740,46281,1,73
71740,46285,0,73
71740,55521,1,73
71740,55901,1,73
71872,54581,1,73
71881,30833,1,73
71881,46277,0,73
71881,46279,1,73
71881,46280,1,73
71881,46281,0,73
71881,46285,0,73
71881,54581,0,73
71881,54697,0,73
71881,55506,0,73
71881,55508,1,73
71881,55509,1,73
71881,55521,0,73
71881,55901,0,73
73684,30833,1,73
73684,46285,0,73
73684,54581,0,73
73684,54697,0,73
73684,55506,0,73
73684,55508,0,73
73684,55521,1,73
73684,55901,0,73
73685,46277,1,73
73685,46279,1,73
73685,46280,1,73
73685,46281,0,73
73685,54581,0,73
73685,55508,1,73
73685,55509,0,73
73962,54697,0,73
74698,46276,1,73
74698,46278,0,73
74698,46279,0,73
74698,46280,1,73
74698,46281,0,73
74698,54697,0,73
74698,55506,0,73
74698,55508,0,73
74698,55509,0,73
74698,55521,0,73
74698,55901,0,73
74964,54581,0,5056
74964,54697,1,5056
74964,55506,1,5056
74964,55508,1,5056
74964,55509,1,5056
74964,55521,0,5056
75169,30833,1,73
75169,46276,1,73
75169,46277,1,73
75169,46278,0,73
75169,46279,1,73
75169,46280,1,73
75169,46281,1,73
75169,46285,1,73
75169,54581,0,73
75169,54697,1,73
75169,55506,1,73
75169,55508,1,73
75169,55509,1,73
75169,55521,0,73
75169,55901,0,73
75303,46276,1,5056
75303,46277,0,5056
75346,54581,1,5056
75346,55508,1,5056
75346,55521,1,5056
75361,30833,1,73
77069,46276,0,1
77069,46277,0,1
77117,54697,0,139
77117,55506,1,139
77117,55521,0,139
77118,54581,1,139
77118,54697,1,139
77118,55508,0,139
77118,55509,1,139
77990,46276,1,1645
77990,46279,1,1645
77990,46280,1,1645
77990,46281,0,1645
77990,46285,1,1645
77991,30833,1,1645
77991,46276,1,1645
77991,46279,1,1645
77991,46280,1,1645
77991,46281,1,1645
77991,46285,0,1645
77992,30833,1,1645
77992,46277,1,1645
77992,46278,0,1645
77992,46279,0,1645
77992,46280,1,1645
77992,46281,1,1645
77993,30833,1,1645
77993,46276,1,1645
77993,46279,1,1645
77993,46280,1,1645
77993,46281,1,1645
77993,46285,0,1645
77994,30833,1,1645
77994,46276,0,1645
77994,46277,0,1645
77994,46278,0,1645
77994,46279,1,1645
77994,46280,1,1645
77994,46281,1,1645
77994,46285,0,1645
77997,30833,1,1645
77997,46276,0,1645
77997,46277,0,1645
77997,46279,1,1645
77997,46280,1,1645
77997,46281,1,1645
77998,46276,0,1645
77998,46277,0,1645
77998,46278,1,1645
77998,46280,0,1645
77998,46281,0,1645
77999,46276,1,1645
77999,46278,1,1645
77999,46279,0,1645
77999,46280,0,1645
77999,46281,0,1645
77999,46285,1,1645
78000,30833,1,1645
78000,46276,0,1645
78000,46277,1,1645
78000,46279,1,1645
78000,46280,1,1645
78000,46281,1,1645
78000,46285,0,1645
78001,46277,1,1645
78001,46278,1,1645
78001,46280,0,1645
78001,46281,1,1645
78001,46285,1,1645
78002,46280,1,1645
78002,46281,1,1645
78002,46285,1,1645
78003,30833,1,1645
78003,46278,0,1645
78003,46279,0,1645
78003,46280,1,1645
78003,46281,1,1645
78004,30833,1,1645
78004,46276,0,1645
78004,46277,0,1645
78004,46278,1,1645
78004,46279,0,1645
78004,46280,1,1645
78004,46281,1,1645
78004,46285,0,1645
78005,30833,1,1645
78005,46276,1,1645
78005,46277,0,1645
78005,46278,1,1645
78005,46279,0,1645
78005,46280,0,1645
78005,46281,1,1645
78006,30833,1,1645
78006,46277,1,1645
78006,46278,0,1645
78006,46280,1,1645
78006,46281,1,1645
78006,55901,0,1645
78007,30833,1,1645
78007,46276,0,1645
78007,46279,1,1645
78007,46280,1,1645
78007,46281,0,1645
78010,30833,1,1645
78010,46280,1,1645
78010,46281,1,1645
78010,46285,0,1645
78010,55901,1,1645
78011,46276,1,1645
78011,46279,1,1645
78011,46280,1,1645
78011,46281,1,1645
78011,46285,1,1645
78011,55901,1,1645
78012,30833,1,1645
78012,46276,1,1645
78012,46278,1,1645
78012,46280,0,1645
78012,46281,1,1645
78012,55901,0,1645
78013,46277,1,1645
78013,46279,1,1645
